label,total_appearances,dominant_class,dominant_pct,buildings,buildings_pct,forest,forest_pct,glacier,glacier_pct,mountain,mountain_pct,sea,sea_pct,street,street_pct
black widow,1,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
crossword puzzle,2,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0
Loafer,13,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,100.0
basketball,6,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,100.0
pajama,3,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0
ballplayer,3,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0
upright,1,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
muzzle,1,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
accordion,10,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,100.0
barbell,7,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,100.0
dumbbell,4,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0
steel drum,5,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,100.0
